,Year,Sale Date,Sale Price,Property Location,Year Built,Garden,Garage,Type,Style,Bedrooms,Bathrooms,First Time Buyer
0,2021,Sold 2021-01-10,"€381,302.00",Broomhouse,1967,Yes,Yes,Detached,1.5-Storey,3,1,No
1,2021,Sold 2021-01-10,"€325,898.00",Broomhouse,1978,Yes,???,Detached,1-Storey,3,1,Yes
2,2021,Sold 18 January 2021,"€ 370,354",Oak Park,1961,Yes,No,Detached,1-Storey,3,2,No
3,2021,Sold 2021-01-23,"€92,480.00",Beacon Hill,1958,Yes,No,Bungalow,1-Storey,1,1,Yes
4,2021,Sold 2021-01-25,"€312,030.00",Brookville,1987,Yes,Yes,Detached,1-Storey,3,1,No
5,2021,Sold 2021-01-30,"€311,839.00",Rivermount,1922,No,No,Terraced,2-Storey,4,1,Yes
6,2021,Sold 2021-01-30,"€261,513.00",Rivermount,1961,Yes,Yes,Bungalow,1-Storey,2,1,Yes
7,2021,Sold 2021-02-07,"€ 658,691",Oak Park,1985,Yes,No,Detached,1-Storey,3,2,NO
8,2021,Sold 2021-02-07,"€334,254.00",Oak Park,1967,Yes,Yes,Detached,1.5-Storey,3,1,No
9,2021,Sold 2021-02-26,"€281,615.00",Summerston,1966,Yes,Yes,Detached,1-Storey,3,1,Yes
10,2021,Sold 2021-02-26,"€294,390.00",Summerston,1957,Yes,Yes,Detached,1-Storey,3,2,Yes
11,2021,Sold 2021-03-01,"€305,485.00",Broomhouse,1984,Yes,Yes,Detached,1-Storey,4,1,No
12,2021,Sold 2021-03-01,"€340,920.00",Broomhouse,1974,Yes,Yes,Detached,1-Storey,3,1,No
13,2021,Sold 2021-03-08,"€427,553.00",Oak Park,1982,Yes,No,Detached,1-Storey,3,2,Yes
14,2021,Sold 2021-03-08,"€326,607.00",Oak Park,1959,Yes,No,Detached,1-Storey,2,1,No
15,2021,Sold 2021-03-12,"€359,711.00",Brookville,2014,Yes,No,Detached,1-Storey,3,1,Yes
16,2021,Sold 2021-03-12,"€285,795.00",Brookville,1984,Yes,Yes,Detached,1-Storey,3,1,NO
17,2021,Sold 2021-03-13,"€ 336,609",Beacon Hill,c1943,Yes,Yes,Detached,1-Storey,2,1,No
